id;name;name_fr;created_at;about;cover_image;cover_image_content_type
1;architecture program;Mississippi Secured SQL;2021-08-29T12:00:56;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;matrix;payment purple;2021-08-29T15:24:38;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;Republic) SQL;monitor;2021-08-29T19:58:30;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;Investor Road;Kyrgyz;2021-08-29T09:21:16;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;matrix;monitor RAM Alaska;2021-08-29T08:30:26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;Nigeria Analyst Fish;bandwidth bypass;2021-08-30T00:13:23;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;Developer EXE;Usability Agent fuchsia;2021-08-30T00:10:19;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;global methodologies;Wooden;2021-08-30T05:13:18;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;Viaduct View global;RAM Integration auxiliary;2021-08-29T13:10:00;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;withdrawal;Cloned;2021-08-30T00:20:54;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
