id;amount;payer_name;created_at;updated_at;anonymous;rewarded
1;83503;fresh-thinking Internal Open-source;2021-08-29T09:10:22;2021-08-29T15:40:13;true;true
2;37559;matrix;2021-08-30T04:44:49;2021-08-29T08:49:29;true;true
3;326;compress Functionality;2021-08-29T21:34:46;2021-08-29T23:20:06;true;true
4;48418;Computer;2021-08-29T11:24:05;2021-08-30T01:14:13;false;true
5;38069;groupware;2021-08-30T06:06:11;2021-08-29T08:26:00;true;true
6;97726;Networked AI bandwidth-monitored;2021-08-29T18:21:35;2021-08-29T09:48:58;true;false
7;35110;Clothing Regional;2021-08-29T17:32:40;2021-08-29T19:35:04;true;false
8;23377;Rubber Orchestrator wireless;2021-08-30T04:05:29;2021-08-29T16:00:35;true;false
9;85972;leading-edge;2021-08-30T01:11:55;2021-08-29T11:30:44;true;false
10;83534;Latvian HTTP Steel;2021-08-30T02:53:06;2021-08-30T06:22:22;false;false
