id;title;goal;headline;video_url;location;created_at;updated_at;description;more_links;budget_description;duration;admin_notes;cover_image;cover_image_content_type;status;common_id
1;contextually-based Alaska Fresh;54070;parsing;Micronesia Health Producer;functionalities extensible;2021-08-29T08:46:44;2021-08-30T02:05:53;../fake-data/blob/hipster.txt;exploit technologies Soft;../fake-data/blob/hipster.txt;90634;Junctions;../fake-data/blob/hipster.png;image/png;Failed;223a785a-c3ce-4a86-b051-6514d1cf08b6
2;Diverse;66503;Licensed Central payment;Keyboard Optional Carolina;iterate Multi-lateral Specialist;2021-08-29T15:34:39;2021-08-30T01:55:22;../fake-data/blob/hipster.txt;Assurance systemic;../fake-data/blob/hipster.txt;41068;Ringgit Up-sized Jewelery;../fake-data/blob/hipster.png;image/png;Approved;036c92c2-35cd-4b3c-b7b4-10e21dae7c22
3;Administrator Berkshire Vision-oriented;26362;synthesizing Gloves;Villages world-class;indexing Bedfordshire;2021-08-29T08:24:30;2021-08-29T20:10:32;../fake-data/blob/hipster.txt;Computer digital matrix;../fake-data/blob/hipster.txt;85916;Hryvnia;../fake-data/blob/hipster.png;image/png;Failed;2c248312-5f01-4834-967e-29c79331657a
4;of open-source Architect;13221;program salmon Bedfordshire;Ball PCI Arabia;strategy black;2021-08-30T01:30:42;2021-08-30T00:52:34;../fake-data/blob/hipster.txt;Sleek;../fake-data/blob/hipster.txt;42711;Handmade bypassing;../fake-data/blob/hipster.png;image/png;Pending;88651b1a-251f-4763-a56c-7338048b2ede
5;Technician;24667;CSS Computer;Investor invoice;B2C withdrawal Ball;2021-08-29T18:09:00;2021-08-29T18:02:09;../fake-data/blob/hipster.txt;Wisconsin (customarily;../fake-data/blob/hipster.txt;46162;Fully-configurable Analyst Strategist;../fake-data/blob/hipster.png;image/png;Approved;659ab036-9429-4245-bd42-949b511432d8
6;zero;69050;indexing East;Gloves;Tasty Iranian 4th;2021-08-30T01:02:16;2021-08-29T20:25:41;../fake-data/blob/hipster.txt;Checking Functionality Director;../fake-data/blob/hipster.txt;44732;success TCP vortals;../fake-data/blob/hipster.png;image/png;Approved;7677edef-00ff-4759-9221-c90323968cdc
7;users Mountains Customer;78198;Dakota;bi-directional;Borders;2021-08-29T10:08:25;2021-08-29T23:15:34;../fake-data/blob/hipster.txt;New driver synthesize;../fake-data/blob/hipster.txt;66476;AI Hawaii;../fake-data/blob/hipster.png;image/png;Succeeded;96c90153-bcf1-4926-b0d4-1e131681c871
8;sticky;53136;South invoice;Shilling Frozen Account;strategize;2021-08-29T17:26:08;2021-08-30T04:16:38;../fake-data/blob/hipster.txt;Innovative Market synthesize;../fake-data/blob/hipster.txt;93596;CFP installation;../fake-data/blob/hipster.png;image/png;Succeeded;c1dbc7c7-f7e9-42e9-b08a-6f1cf35f39ba
9;Platinum Ethiopia;99609;object-oriented Rubber RAM;Salad;Arizona;2021-08-29T14:31:56;2021-08-29T18:09:32;../fake-data/blob/hipster.txt;Marketing;../fake-data/blob/hipster.txt;83804;Technician gold;../fake-data/blob/hipster.png;image/png;Approved;2d21106e-5fff-4b58-955b-5707d4d309b1
10;Architect Avon;74339;Centralized Wooden Enterprise-wide;Missouri yellow;payment Persevering;2021-08-29T23:32:29;2021-08-29T11:15:10;../fake-data/blob/hipster.txt;synergy Facilitator;../fake-data/blob/hipster.txt;94164;Principal payment;../fake-data/blob/hipster.png;image/png;Rejected;88119480-7371-460d-942e-e9a8aceab0ae
