id;title;description;minimum_value;deliver_at;expires_at;maximum_contributions;image;image_content_type
1;Dollar;Assurance;22289;2021-08-29T20:09:44;2021-08-29T09:25:25;13339;../fake-data/blob/hipster.png;image/png
2;Carolina holistic Investor;Program Accounts withdrawal;89811;2021-08-30T03:56:46;2021-08-29T10:59:02;84446;../fake-data/blob/hipster.png;image/png
3;bluetooth;revolutionary;29738;2021-08-30T00:29:09;2021-08-29T21:07:02;79502;../fake-data/blob/hipster.png;image/png
4;Shoal Sleek Loan;indexing;37479;2021-08-29T14:58:37;2021-08-29T11:32:04;13352;../fake-data/blob/hipster.png;image/png
5;bypassing yellow Chair;e-enable enterprise Plastic;41899;2021-08-29T19:20:15;2021-08-29T17:08:31;77761;../fake-data/blob/hipster.png;image/png
6;Grass-roots;turquoise Director;37829;2021-08-30T04:15:03;2021-08-29T15:19:49;52314;../fake-data/blob/hipster.png;image/png
7;programming;deposit;66928;2021-08-30T06:25:44;2021-08-29T23:28:44;34065;../fake-data/blob/hipster.png;image/png
8;Rubber brand;CSS fuchsia;69234;2021-08-29T14:54:50;2021-08-29T18:10:06;14016;../fake-data/blob/hipster.png;image/png
9;Small mission-critical overriding;indexing;39336;2021-08-30T05:43:36;2021-08-29T21:43:39;34729;../fake-data/blob/hipster.png;image/png
10;Junctions full-range;Applications transmit Moldova;58590;2021-08-30T04:54:35;2021-08-29T16:44:41;6115;../fake-data/blob/hipster.png;image/png
